System;Total production;Total surplus;Total shortage;Total unused;Net surplus;Average cost;Difference from arbitrage
Renewables only;10589587.7626535;1331112.23118967;-1239109.63367151;2471297.39515999;92002.5975181583;87.1323215106382;0
Renewables only;8684480.73077302;1005741.59181368;-1898197.52863425;1508003.49550118;-892455.93682057;103.41444275877;0
Renewables only;8932937.34020315;1073347.95508385;-1958667.39167796;1606772.46525108;-885319.436594109;102.588663838494;0
Renewables only;7822480.15897559;877034.420298761;-2413606.75417378;1096826.65413143;-1536572.33387502;149.517639493565;0
Renewables only;10991070.9892223;1399074.12940659;-1368458.17913876;2617385.62860163;30615.9502678223;84.3837946964759;0
Renewables only;10783628.4925163;1354569.92383213;-1412571.33373185;2483772.87254393;-58001.409899719;63.9851599488477;0
Renewables only;8602223.07035085;1048878.00364174;-1998653.17466224;1616418.02445379;-949775.171020497;128.013092636696;0
Renewables only;10671798.0383387;1357254.2093108;-1254392.30797706;2415184.59170526;102861.901333734;131.594196445811;0
Renewables only;8149659.20376896;976991.947501231;-2025686.38605408;1283437.00228763;-1048694.43855285;78.821603460515;0
Renewables only;9745303.65438935;1195351.99387044;-1549661.84917418;1964245.60557911;-354309.855303738;71.9953133651663;0
Renewables only;9492070.31311579;1137565.1099952;-1565530.18785962;1891837.79082266;-427965.077864422;111.585581361139;0
Renewables only;11348712.9478399;1498233.71999534;-1090889.90875232;2626186.0539989;407343.811243019;153.335372475936;0
Renewables only;9463264.53160773;1104666.73600994;-1895913.16583686;2259254.23807962;-791246.429826925;109.634290489091;0
Renewables only;8332727.57152008;926350.112385651;-2144286.14543353;1182664.79323723;-1217936.03304788;95.7524928000634;0
Renewables only;11722113.80799;1485667.70173852;-1076180.57679934;3166534.74489441;409487.124939175;123.690427363446;0
Renewables only;9725604.0033813;1233826.01109838;-1536054.28907551;1974941.06396727;-302228.277977131;124.436547431481;0
Renewables only;7235668.54674909;765242.526108024;-2737725.90929858;923633.178955509;-1972483.38319056;102.87098839736;0
Renewables only;9950983.56129952;1219857.18402451;-1512757.02071034;2204766.28308213;-292899.83668583;97.7438905540042;0
Renewables only;9559586.26132124;1168601.08660111;-1598663.657192;1890026.72535006;-430062.570590888;97.3865591560708;0
Renewables only;8519377.89307227;984503.782509293;-2162552.04012056;1579244.78266978;-1178048.25761126;137.403849398333;0
Renewables only;8992969.52619374;1090409.19545457;-1806803.42687122;1436800.73070473;-716394.231416646;135.59864700521;0
Renewables only;10594360.1524896;1336342.55292733;-1283142.63264534;2145042.25929784;53199.9202819823;134.983017263267;0
Renewables only;9694570.64563942;1187632.60090883;-1582696.19936159;1964819.58568447;-395063.598452753;126.075731655399;0
Renewables only;10655040.2950179;1359571.96837123;-1243649.60894399;2452707.02859411;115922.359427243;99.9752032307794;0
Renewables only;8862162.90472605;1055961.29496938;-2030480.87991486;1576984.42851;-974519.584945483;122.357235265063;0
Renewables only;8278030.32700429;961877.904996095;-2262047.96143207;1277131.12496179;-1300170.05643597;129.575814817737;0
Renewables only;9761337.98981367;1185274.22727935;-1681563.00486972;2223654.64076754;-496288.777590372;66.8902871640131;0
Renewables only;9589305.15764492;1193216.89559532;-1562199.96195666;2021021.01930105;-368983.066361333;75.527894499001;0
Renewables only;9384403.62069116;1111811.83528432;-2015416.31648755;1979203.18445395;-903604.481203234;161.275254758198;0
Renewables only;10323749.666925;1307853.95092185;-1487898.51308585;2141134.59555263;-180044.562163998;86.4520919813286;0
