;Storage energy;Storage power;Wind capacity;Total production;Total surplus;Total shortage;Total unused;Net surplus
58;695.192796177561;5994.84250318941;3800;9483832.965106722;1045088.2319449876;-1653585.311337013;1856791.4902111553;-608497.079392023
59;695.192796177561;10000.0;3800;9454898.900364155;1041004.88903772;-1667622.1254926606;1842235.9944254202;-626617.2364549399
60;1128.83789168469;100.0;3800;9474051.836050369;1078821.9830331581;-1640004.0302763314;1791732.8117703907;-561182.047243175
61;1128.83789168469;166.810053720006;3800;9476704.246231219;1056316.7769568926;-1619275.5208664509;1790210.0105539325;-562958.7439095585
62;1128.83789168469;278.255940220713;3800;9470363.460893586;1032893.1617795695;-1611306.817599191;1799480.5271507397;-578413.6558196229
63;1128.83789168469;464.158883361278;3800;9471312.611019881;1015142.4794937168;-1611934.5745347454;1821803.6596318332;-596792.0950410289
64;1128.83789168469;774.263682681127;3800;9526151.771981247;1017737.1186951618;-1594124.9981842043;1855020.0293659635;-576387.8794890444
65;1128.83789168469;1291.54966501488;3800;9459605.677274456;1006340.5839628079;-1617329.7852831874;1825201.5503537962;-610989.2013203789
66;1128.83789168469;2154.43469003188;3800;9474025.330792094;1009051.4707310945;-1615649.0892517008;1827816.7743790508;-606597.6185206008
67;1128.83789168469;3593.8136638046294;3800;9472646.018334245;1008651.2632559525;-1614148.7090766;1829876.9867335632;-605497.4458206486
68;1128.83789168469;5994.84250318941;3800;9444514.62099503;1004545.1490036907;-1624105.5617134804;1819814.0687143526;-619560.4127097866
69;1128.83789168469;10000.0;3800;9458769.393011913;1007260.1882953944;-1618383.2573586232;1825482.7669779968;-611123.0690632282
70;1832.9807108324399;100.0;3800;9490970.129200766;1070356.5664281584;-1599711.2372429888;1769096.7768193823;-529354.6708148276
71;1832.9807108324399;166.810053720006;3800;9493661.3400952;1042916.6538430644;-1567930.1765188053;1758163.5760322106;-525013.5226757419
72;1832.9807108324399;278.255940220713;3800;9451689.489816131;1005663.7870784673;-1563494.7160141782;1742514.5239908923;-557830.9289357115
73;1832.9807108324399;464.158883361278;3800;9464690.401093176;980923.5937644114;-1554673.4696157728;1774535.125372328;-573749.8758513593
74;1832.9807108324399;774.263682681127;3800;9465747.854336761;968561.8551255023;-1559903.3713003173;1791842.1262614226;-591341.5161748128
75;1832.9807108324399;1291.54966501488;3800;9468854.717329381;966915.8800684502;-1552863.0800201225;1793726.989582486;-585947.199951669
76;1832.9807108324399;2154.43469003188;3800;9458459.025257206;964447.5298327622;-1559604.4904748187;1788364.7681205259;-595156.9606420558
77;1832.9807108324399;3593.8136638046294;3800;9471882.940891141;967326.3116380062;-1557864.6603808952;1798496.676181657;-590538.3487428887
78;1832.9807108324399;5994.84250318941;3800;9470934.44149354;967818.2971703501;-1547739.0854161095;1796517.1224162795;-579920.7882457584
79;1832.9807108324399;10000.0;3800;9500552.322325526;971245.0590290332;-1547347.5964809665;1810109.8756810722;-576102.5374519324
80;2976.35144163132;100.0;3800;9500891.691790307;1063919.9064910028;-1562477.9774723114;1729343.0460776591;-498558.07098130917
81;2976.35144163132;166.810053720006;3800;9493507.032473555;1025519.7916150865;-1513106.519949027;1705779.3446027376;-487586.7283339437
82;2976.35144163132;278.255940220713;3800;9440386.68832558;974370.6424565348;-1505252.3916056554;1676348.6811135036;-530881.7491491222
83;2976.35144163132;464.158883361278;3800;9479000.3793022;948080.6267712404;-1475827.2687637967;1714968.4053913767;-527746.6419925585
84;2976.35144163132;774.263682681127;3800;9444317.761977136;916869.5389399193;-1486344.7419840686;1721789.9233141313;-569475.2030441541
85;2976.35144163132;1291.54966501488;3800;9484225.951882692;919677.6435339754;-1472907.2449132244;1749919.03554199;-553229.6013792459
86;2976.35144163132;2154.43469003188;3800;9495173.821582165;922600.2632719256;-1468106.718542976;1756242.975558287;-545506.4552710496
87;2976.35144163132;3593.8136638046294;3800;9485153.645658284;920297.1106975193;-1472372.8778772922;1745104.339883714;-552075.767179773
88;2976.35144163132;5994.84250318941;3800;9467960.506811969;917636.6619115082;-1478590.4959536428;1741570.758935273;-560953.8340421318
89;2976.35144163132;10000.0;3800;9514610.87629426;924735.2921987287;-1455724.0070396874;1755909.428233179;-530988.71484096
90;4832.93023857175;100.0;3800;9501330.249155156;1054376.9693152916;-1529772.4601817222;1700390.2988765833;-475395.4908664358
91;4832.93023857175;166.810053720006;3800;9444081.67158502;999834.172260932;-1477925.1220818402;1631547.375956196;-478090.94982091157
92;4832.93023857175;278.255940220713;3800;9496462.550094575;957319.4463642561;-1402759.9332129352;1637241.4074532483;-445440.48684867844
93;4832.93023857175;464.158883361278;3800;9531576.048877366;915399.1904192871;-1361669.2241375148;1654915.0849880183;-446270.0337182262
94;4832.93023857175;774.263682681127;3800;9451407.402922966;868166.522328735;-1383315.5223521602;1651133.196311586;-515149.00002342655
95;4832.93023857175;1291.54966501488;3800;9506040.140138626;864430.3635497976;-1358244.6378938586;1675450.8357493626;-493814.2743440642
96;4832.93023857175;2154.43469003188;3800;9497605.1480158;863858.402448575;-1360916.8129690988;1677601.2744012647;-497058.41052052355
97;4832.93023857175;3593.8136638046294;3800;9479043.491339708;859662.0082073812;-1371918.6103838347;1669444.710284338;-512256.6021764509
98;4832.93023857175;5994.84250318941;3800;9483178.07761117;860034.3998276627;-1369919.307331642;1669593.536694011;-509884.90750398015
99;4832.93023857175;10000.0;3800;9473492.91899995;859246.4549222989;-1373107.172797698;1668198.933628599;-513860.717875399
100;7847.599703514609;100.0;3800;9460615.201497134;1040446.5080245204;-1508708.6623204916;1644500.6920407852;-468262.1542959709
101;7847.599703514609;166.810053720006;3800;9428104.140538052;982173.2025669618;-1432139.4533548148;1565578.763401916;-449966.2507878504
102;7847.599703514609;278.255940220713;3800;9473179.445118979;925348.3082231411;-1325027.4413940902;1532051.3905407842;-399679.1331709486
103;7847.599703514609;464.158883361278;3800;9478086.657777704;860372.0856965841;-1264083.4529606625;1529461.1059778272;-403711.3672640782
104;7847.599703514609;774.263682681127;3800;9452869.108243164;808216.8640485773;-1251067.3606373162;1538602.7926480065;-442850.4965887367
105;7847.599703514609;1291.54966501488;3800;9474923.92523585;792066.989179416;-1248771.469709563;1568804.6749289513;-456704.4805301483
106;7847.599703514609;2154.43469003188;3800;9499825.618980415;794613.6616196355;-1237281.0710031283;1579112.3899552778;-442667.4093834967
107;7847.599703514609;3593.8136638046294;3800;9477245.731749112;791487.812626684;-1245476.2502263112;1569215.989884376;-453988.4375996272
108;7847.599703514609;5994.84250318941;3800;9530288.281165732;801449.8213299895;-1223430.9901447205;1598644.2314783623;-421981.1688147315
109;7847.599703514609;10000.0;3800;9475424.876661323;790489.2003788648;-1246002.8292986064;1572203.360771226;-455513.6289197427
110;12742.749857031298;100.0;3800;9508356.453825327;1042751.79905077;-1474247.4722802995;1639097.3430270494;-431495.67322952603
111;12742.749857031298;166.810053720006;3800;9436211.121833881;970732.158362558;-1379285.6744141437;1517627.2771566226;-408553.5160515849
112;12742.749857031298;278.255940220713;3800;9464690.26841722;898093.9189560716;-1248150.1666759858;1437784.3246766694;-350056.2477199147
113;12742.749857031298;464.158883361278;3800;9462685.119162453;814134.632884208;-1143128.5193929533;1396587.4343544976;-328993.88650874444
114;12742.749857031298;774.263682681127;3800;9487334.120819295;751714.9475295662;-1093452.9893892156;1420791.9970369115;-341738.0418596486
115;12742.749857031298;1291.54966501488;3800;9480862.064281093;719733.5497103239;-1092318.6271134862;1447073.4287059736;-372585.0774031607
116;12742.749857031298;2154.43469003188;3800;9439787.505808467;706764.8224137414;-1107253.948359183;1428564.7632341508;-400489.12594544183
117;12742.749857031298;3593.8136638046294;3800;9487636.937505346;714879.7144396878;-1088414.4191857944;1447214.3910673133;-373534.7047461064
118;12742.749857031298;5994.84250318941;3800;9457686.112551685;708346.4783666201;-1095723.145102356;1432629.5331313808;-387376.66673573584
119;12742.749857031298;10000.0;3800;9486969.78994303;715043.4483401239;-1083637.2498188955;1447090.0800640634;-368593.8014787714
120;20691.3808111479;100.0;3800;9488027.94082271;1033981.729030304;-1464416.3772801175;1616150.5504993403;-430434.6482498162
121;20691.3808111479;166.810053720006;3800;9476152.316644222;965060.303968488;-1326532.9383574615;1492723.1097791905;-361472.6343889765
